"index","group","input","target"
"2498","exception","public String getMetadata() throws ClientException {HttpRequest request = new HttpRequest(credentialUrl.toString());request.setSysMethod(MethodType.GET);request.setSysConnectTimeout(connectionTimeoutInMilliseconds);request.setSysReadTimeout(connectionTimeoutInMilliseconds);HttpResponse response;try {response = CompatibleUrlConnClient.compatibleGetResponse(request);} catch (Exception e) {throw new ClientException(""<EXCEPTION>"" + e.toString());}if (response.getStatus() != HttpURLConnection.HTTP_OK) {throw new ClientException(ECS_METADAT_FETCH_ERROR_MSG + ""<EXCEPTION>"" + response.getStatus());}return new String(response.getHttpContent());}","public String getMetadata() throws ClientException {HttpRequest request = new HttpRequest(credentialUrl.toString());request.setSysMethod(MethodType.GET);request.setSysConnectTimeout(connectionTimeoutInMilliseconds);request.setSysReadTimeout(connectionTimeoutInMilliseconds);HttpResponse response;try {response = CompatibleUrlConnClient.compatibleGetResponse(request);} catch (Exception e) {throw new ClientException(""Failed to connect ECS Metadata Service: "" + e.toString());}if (response.getStatus() != HttpURLConnection.HTTP_OK) {throw new ClientException(ECS_METADAT_FETCH_ERROR_MSG + "" HttpCode="" + response.getStatus());}return new String(response.getHttpContent());}"
"2504","exception","public ValueEval evaluate(int srcRowIndex, int srcColumnIndex, ValueEval inumberVE) {ValueEval veText1;try {veText1 = OperandResolver.getSingleValue(inumberVE, srcRowIndex, srcColumnIndex);} catch (EvaluationException e) {return e.getErrorEval();}String iNumber = OperandResolver.coerceValueToString(veText1);Matcher m = Imaginary.COMPLEX_NUMBER_PATTERN.matcher(iNumber);boolean result = m.matches();String real = """";if (result) {String realGroup = m.group(2);boolean hasRealPart = realGroup.length() != 0;if (realGroup.length() == 0) {return new StringEval(String.valueOf(0));}if (hasRealPart) {String sign = """";String realSign = m.group(Imaginary.GROUP1_REAL_SIGN);if (realSign.length() != 0 && !(realSign.equals(""+""))) {sign = realSign;}String groupRealNumber = m.group(Imaginary.GROUP2_IMAGINARY_INTEGER_OR_DOUBLE);if (groupRealNumber.length() != 0) {real = sign + groupRealNumber;} else {real = sign + ""1"";}}} else {return ErrorEval.NUM_ERROR;}return new StringEval(real);}","public ValueEval evaluate(int srcRowIndex, int srcColumnIndex, ValueEval inumberVE) {ValueEval veText1;try {veText1 = OperandResolver.getSingleValue(inumberVE, srcRowIndex, srcColumnIndex);} catch (EvaluationException e) {return e.getErrorEval();}String iNumber = OperandResolver.coerceValueToString(veText1);Matcher m = Imaginary.COMPLEX_NUMBER_PATTERN.matcher(iNumber);boolean result = m.matches();String real = """";if (result) {String realGroup = m.group(2);boolean hasRealPart = realGroup.length() != 0;if (realGroup.length() == 0) {return new StringEval(String.valueOf(0));}if (hasRealPart) {String sign = """";String realSign = m.group(Imaginary.GROUP1_REAL_SIGN);if (realSign.length() != 0 && !(realSign.equals(""+""))) {sign = realSign;}String groupRealNumber = m.group(Imaginary.GROUP2_IMAGINARY_INTEGER_OR_DOUBLE);if (groupRealNumber.length() != 0) {real = sign + groupRealNumber;} else {real = sign + ""1"";}}} else {return ErrorEval.NUM_ERROR;}return new StringEval(real);}"
"3052","exception","public byte[] getThumbnailAsWMF() throws HPSFException{if (!(getClipboardFormatTag() == CFTAG_WINDOWS))throw new HPSFException(""<EXCEPTION>"" +""be CFTAG_WINDOWS."");if (!(getClipboardFormat() == CF_METAFILEPICT)) {throw new HPSFException(""<EXCEPTION>"" +""be CF_METAFILEPICT."");}byte[] thumbnail = getThumbnail();int wmfImageLength = thumbnail.length - OFFSET_WMFDATA;byte[] wmfImage = new byte[wmfImageLength];System.arraycopy(thumbnail,OFFSET_WMFDATA,wmfImage,0,wmfImageLength);return wmfImage;}","public byte[] getThumbnailAsWMF() throws HPSFException{if (!(getClipboardFormatTag() == CFTAG_WINDOWS))throw new HPSFException(""Clipboard Format Tag of Thumbnail must "" +""be CFTAG_WINDOWS."");if (!(getClipboardFormat() == CF_METAFILEPICT)) {throw new HPSFException(""Clipboard Format of Thumbnail must "" +""be CF_METAFILEPICT."");}byte[] thumbnail = getThumbnail();int wmfImageLength = thumbnail.length - OFFSET_WMFDATA;byte[] wmfImage = new byte[wmfImageLength];System.arraycopy(thumbnail,OFFSET_WMFDATA,wmfImage,0,wmfImageLength);return wmfImage;}"
"3061","exception","public RecordInputStream createDecryptingStream(InputStream original) {String userPassword = Biff8EncryptionKey.getCurrentUserPassword();if (userPassword == null) {userPassword = Decryptor.DEFAULT_PASSWORD;}EncryptionInfo info = _filePassRec.getEncryptionInfo();try {if (!info.getDecryptor().verifyPassword(userPassword)) {throw new EncryptedDocumentException((Decryptor.DEFAULT_PASSWORD.equals(userPassword) ? ""<EXCEPTION>"" : ""Supplied"")+ "" password is invalid for salt/verifier/verifierHash"");}} catch (GeneralSecurityException e) {throw new EncryptedDocumentException(e);}return new RecordInputStream(original, info, _initialRecordsSize);}","public RecordInputStream createDecryptingStream(InputStream original) {String userPassword = Biff8EncryptionKey.getCurrentUserPassword();if (userPassword == null) {userPassword = Decryptor.DEFAULT_PASSWORD;}EncryptionInfo info = _filePassRec.getEncryptionInfo();try {if (!info.getDecryptor().verifyPassword(userPassword)) {throw new EncryptedDocumentException((Decryptor.DEFAULT_PASSWORD.equals(userPassword) ? ""Default"" : ""Supplied"")+ "" password is invalid for salt/verifier/verifierHash"");}} catch (GeneralSecurityException e) {throw new EncryptedDocumentException(e);}return new RecordInputStream(original, info, _initialRecordsSize);}"
"3722","exception","public void reportError(Parser recognizer,RecognitionException e){if (inErrorRecoveryMode(recognizer)) {return; }beginErrorCondition(recognizer);if ( e instanceof NoViableAltException ) {reportNoViableAlternative(recognizer, (NoViableAltException) e);}else if ( e instanceof InputMismatchException ) {reportInputMismatch(recognizer, (InputMismatchException)e);}else if ( e instanceof FailedPredicateException ) {reportFailedPredicate(recognizer, (FailedPredicateException)e);}else {System.err.println(""unknown recognition error type: ""+e.getClass().getName());recognizer.notifyErrorListeners(e.getOffendingToken(), e.getMessage(), e);}}","public void reportError(Parser recognizer,RecognitionException e){if (inErrorRecoveryMode(recognizer)) {return; }beginErrorCondition(recognizer);if ( e instanceof NoViableAltException ) {reportNoViableAlternative(recognizer, (NoViableAltException) e);}else if ( e instanceof InputMismatchException ) {reportInputMismatch(recognizer, (InputMismatchException)e);}else if ( e instanceof FailedPredicateException ) {reportFailedPredicate(recognizer, (FailedPredicateException)e);}else {System.err.println(""unknown recognition error type: ""+e.getClass().getName());recognizer.notifyErrorListeners(e.getOffendingToken(), e.getMessage(), e);}}"
"3780","exception","public void setLength(int length) {if (length < 0) {throw new StringIndexOutOfBoundsException(""<EXCEPTION>"" + length);}if (length > value.length) {enlargeBuffer(length);} else {if (shared) {char[] newData = new char[value.length];System.arraycopy(value, 0, newData, 0, count);value = newData;shared = false;} else {if (count < length) {Arrays.fill(value, count, length, (char) 0);}}}count = length;}","public void setLength(int length) {if (length < 0) {throw new StringIndexOutOfBoundsException(""length < 0: "" + length);}if (length > value.length) {enlargeBuffer(length);} else {if (shared) {char[] newData = new char[value.length];System.arraycopy(value, 0, newData, 0, count);value = newData;shared = false;} else {if (count < length) {Arrays.fill(value, count, length, (char) 0);}}}count = length;}"
"3978","exception","public IndexFormatTooOldException(String resourceDescription, int version, int minVersion, int maxVersion) {super(""<EXCEPTION>"" + resourceDescription + ""): "" +version + "" (needs to be between "" + minVersion + "" and "" + maxVersion +""). This version of Lucene only supports indexes created with release 8.0 and later."");this.resourceDescription = resourceDescription;this.version = version;this.minVersion = minVersion;this.maxVersion = maxVersion;this.reason = null;}","public IndexFormatTooOldException(String resourceDescription, int version, int minVersion, int maxVersion) {super(""Format version is not supported (resource "" + resourceDescription + ""): "" +version + "" (needs to be between "" + minVersion + "" and "" + maxVersion +""). This version of Lucene only supports indexes created with release 8.0 and later."");this.resourceDescription = resourceDescription;this.version = version;this.minVersion = minVersion;this.maxVersion = maxVersion;this.reason = null;}"
"4003","exception","public Entry getEntry(final String name) throws FileNotFoundException {Entry rval = null;if (name != null) {rval = _byname.get(name);}if (rval == null) {if(_byname.containsKey(""Workbook"")) {throw new IllegalArgumentException(""<EXCEPTION>"");} else if(_byname.containsKey(""PowerPoint Document"")) {throw new IllegalArgumentException(""<EXCEPTION>"");} else if(_byname.containsKey(""VisioDocument"")) {throw new IllegalArgumentException(""<EXCEPTION>"");}throw new FileNotFoundException(""<EXCEPTION>"""" + name+ ""\"", had: "" + _byname.keySet());}return rval;}","public Entry getEntry(final String name) throws FileNotFoundException {Entry rval = null;if (name != null) {rval = _byname.get(name);}if (rval == null) {if(_byname.containsKey(""Workbook"")) {throw new IllegalArgumentException(""The document is really a XLS file"");} else if(_byname.containsKey(""PowerPoint Document"")) {throw new IllegalArgumentException(""The document is really a PPT file"");} else if(_byname.containsKey(""VisioDocument"")) {throw new IllegalArgumentException(""The document is really a VSD file"");}throw new FileNotFoundException(""no such entry: \"""" + name+ ""\"", had: "" + _byname.keySet());}return rval;}"
"4417","exception","public DocumentSummaryInformation(final PropertySet ps)throws UnexpectedPropertySetTypeException {super(ps);if (!isDocumentSummaryInformation()) {throw new UnexpectedPropertySetTypeException(""<EXCEPTION>"" + getClass().getName());}}","public DocumentSummaryInformation(final PropertySet ps)throws UnexpectedPropertySetTypeException {super(ps);if (!isDocumentSummaryInformation()) {throw new UnexpectedPropertySetTypeException(""Not a "" + getClass().getName());}}"
"4444","exception","public int doLogic() throws IOException {String analyzerName = null;try {if (current >= analyzerNames.size()) {current = 0;}analyzerName = analyzerNames.get(current++);Analyzer analyzer = null;if (null == analyzerName || 0 == analyzerName.length()) {analyzerName = ""org.apache.lucene.analysis.standard.StandardAnalyzer"";}AnalyzerFactory factory = getRunData().getAnalyzerFactories().get(analyzerName);if (null != factory) {analyzer = factory.create();} else {if (analyzerName.contains(""."")) {if (analyzerName.startsWith(""standard."")) {analyzerName = ""org.apache.lucene.analysis."" + analyzerName;}analyzer = createAnalyzer(analyzerName);} else { try {String coreClassName = ""org.apache.lucene.analysis.core."" + analyzerName;analyzer = createAnalyzer(coreClassName);analyzerName = coreClassName;} catch (ClassNotFoundException e) {analyzerName = ""org.apache.lucene.analysis."" + analyzerName;analyzer = createAnalyzer(analyzerName);}}}getRunData().setAnalyzer(analyzer);} catch (Exception e) {throw new RuntimeException(""<EXCEPTION>"" + analyzerName, e);}return 1;}","public int doLogic() throws IOException {String analyzerName = null;try {if (current >= analyzerNames.size()) {current = 0;}analyzerName = analyzerNames.get(current++);Analyzer analyzer = null;if (null == analyzerName || 0 == analyzerName.length()) {analyzerName = ""org.apache.lucene.analysis.standard.StandardAnalyzer"";}AnalyzerFactory factory = getRunData().getAnalyzerFactories().get(analyzerName);if (null != factory) {analyzer = factory.create();} else {if (analyzerName.contains(""."")) {if (analyzerName.startsWith(""standard."")) {analyzerName = ""org.apache.lucene.analysis."" + analyzerName;}analyzer = createAnalyzer(analyzerName);} else { try {String coreClassName = ""org.apache.lucene.analysis.core."" + analyzerName;analyzer = createAnalyzer(coreClassName);analyzerName = coreClassName;} catch (ClassNotFoundException e) {analyzerName = ""org.apache.lucene.analysis."" + analyzerName;analyzer = createAnalyzer(analyzerName);}}}getRunData().setAnalyzer(analyzer);} catch (Exception e) {throw new RuntimeException(""Error creating Analyzer: "" + analyzerName, e);}return 1;}"
"4653","exception","public static Function getBasicFunction(int functionIndex) {switch (functionIndex) {case FunctionID.INDIRECT:case FunctionID.EXTERNAL_FUNC:return null;}Function result = functions[functionIndex];if (result == null) {throw new NotImplementedException(""<EXCEPTION>"" + functionIndex);}return result;}","public static Function getBasicFunction(int functionIndex) {switch (functionIndex) {case FunctionID.INDIRECT:case FunctionID.EXTERNAL_FUNC:return null;}Function result = functions[functionIndex];if (result == null) {throw new NotImplementedException(""FuncIx="" + functionIndex);}return result;}"
"5580","exception","public TermVectorsReader clone() {if (in == null) {throw new AlreadyClosedException(""<EXCEPTION>"");}return new SimpleTextTermVectorsReader(offsets, in.clone());}","public TermVectorsReader clone() {if (in == null) {throw new AlreadyClosedException(""this TermVectorsReader is closed"");}return new SimpleTextTermVectorsReader(offsets, in.clone());}"
"6229","exception","public Note call() throws GitAPIException {checkCallable();NoteMap map = NoteMap.newEmptyMap();RevCommit notesCommit = null;try (RevWalk walk = new RevWalk(repo);ObjectInserter inserter = repo.newObjectInserter()) {Ref ref = repo.findRef(notesRef);if (ref != null) {notesCommit = walk.parseCommit(ref.getObjectId());map = NoteMap.read(walk.getObjectReader(), notesCommit);}map.set(id, message, inserter);commitNoteMap(repo, notesRef, walk, map, notesCommit, inserter,""Notes added by 'git notes add'""); return map.getNote(id);} catch (IOException e) {throw new JGitInternalException(e.getMessage(), e);}}","public Note call() throws GitAPIException {checkCallable();NoteMap map = NoteMap.newEmptyMap();RevCommit notesCommit = null;try (RevWalk walk = new RevWalk(repo);ObjectInserter inserter = repo.newObjectInserter()) {Ref ref = repo.findRef(notesRef);if (ref != null) {notesCommit = walk.parseCommit(ref.getObjectId());map = NoteMap.read(walk.getObjectReader(), notesCommit);}map.set(id, message, inserter);commitNoteMap(repo, notesRef, walk, map, notesCommit, inserter,""Notes added by 'git notes add'""); return map.getNote(id);} catch (IOException e) {throw new JGitInternalException(e.getMessage(), e);}}"
"6317","exception","public XmlSerializer newSerializer() throws XmlPullParserException {if (serializerClasses == null) {throw new XmlPullParserException(""<EXCEPTION>""+classNamesLocation);}if(serializerClasses.size() == 0) {throw new XmlPullParserException(""<EXCEPTION>""+classNamesLocation);}final StringBuilder issues = new StringBuilder ();for (int i = 0; i < serializerClasses.size (); i++) {final Class ppClass = (Class) serializerClasses.get(i);try {final XmlSerializer ser = (XmlSerializer) ppClass.newInstance();return ser;} catch(Exception ex) {issues.append (ppClass.getName () + "": ""+ ex.toString ()+""; "");}}throw new XmlPullParserException (""<EXCEPTION>""+issues);}","public XmlSerializer newSerializer() throws XmlPullParserException {if (serializerClasses == null) {throw new XmlPullParserException(""Factory initialization incomplete - has not tried ""+classNamesLocation);}if(serializerClasses.size() == 0) {throw new XmlPullParserException(""No valid serializer classes found in ""+classNamesLocation);}final StringBuilder issues = new StringBuilder ();for (int i = 0; i < serializerClasses.size (); i++) {final Class ppClass = (Class) serializerClasses.get(i);try {final XmlSerializer ser = (XmlSerializer) ppClass.newInstance();return ser;} catch(Exception ex) {issues.append (ppClass.getName () + "": ""+ ex.toString ()+""; "");}}throw new XmlPullParserException (""could not create serializer: ""+issues);}"
"6547","exception","public void dumpDeadEndConfigs(NoViableAltException nvae) {System.err.println(""dead end configs: "");for (ATNConfig c : nvae.getDeadEndConfigs()) {String trans = ""no edges"";if ( c.state.getNumberOfTransitions()>0 ) {Transition t = c.state.transition(0);if ( t instanceof AtomTransition) {AtomTransition at = (AtomTransition)t;trans = ""Atom ""+getTokenName(at.label);}else if ( t instanceof SetTransition ) {SetTransition st = (SetTransition)t;boolean not = st instanceof NotSetTransition;trans = (not?""~"":"""")+""Set ""+st.set.toString();}}System.err.println(c.toString(parser, true)+"":""+trans);}}","public void dumpDeadEndConfigs(NoViableAltException nvae) {System.err.println(""dead end configs: "");for (ATNConfig c : nvae.getDeadEndConfigs()) {String trans = ""no edges"";if ( c.state.getNumberOfTransitions()>0 ) {Transition t = c.state.transition(0);if ( t instanceof AtomTransition) {AtomTransition at = (AtomTransition)t;trans = ""Atom ""+getTokenName(at.label);}else if ( t instanceof SetTransition ) {SetTransition st = (SetTransition)t;boolean not = st instanceof NotSetTransition;trans = (not?""~"":"""")+""Set ""+st.set.toString();}}System.err.println(c.toString(parser, true)+"":""+trans);}}"
"7034","exception","public Cell next() {if (!hasNext()) {throw new NoSuchElementException(""<EXCEPTION>"");}HSSFCell cell = cells[nextId];thisId = nextId;findNext();return cell;}","public Cell next() {if (!hasNext()) {throw new NoSuchElementException(""At last element"");}HSSFCell cell = cells[nextId];thisId = nextId;findNext();return cell;}"
"7178","exception","public final Buffer reset() {if (mark == UNSET_MARK) {throw new InvalidMarkException(""<EXCEPTION>"");}position = mark;return this;}","public final Buffer reset() {if (mark == UNSET_MARK) {throw new InvalidMarkException(""Mark not set"");}position = mark;return this;}"
"7397","exception","public int popMode() {if ( _modeStack.isEmpty() ) throw new EmptyStackException();if ( LexerATNSimulator.debug ) System.out.println(""<EXCEPTION>""+ _modeStack.peek());mode( _modeStack.pop() );return _mode;}","public int popMode() {if ( _modeStack.isEmpty() ) throw new EmptyStackException();if ( LexerATNSimulator.debug ) System.out.println(""popMode back to ""+ _modeStack.peek());mode( _modeStack.pop() );return _mode;}"
"7933","exception","public IndexFormatTooNewException(String resourceDescription, int version, int minVersion, int maxVersion) {super(""<EXCEPTION>"" + resourceDescription + ""): ""+ version + "" (needs to be between "" + minVersion + "" and "" + maxVersion + "")"");this.resourceDescription = resourceDescription;this.version = version;this.minVersion = minVersion;this.maxVersion = maxVersion;}","public IndexFormatTooNewException(String resourceDescription, int version, int minVersion, int maxVersion) {super(""Format version is not supported (resource "" + resourceDescription + ""): ""+ version + "" (needs to be between "" + minVersion + "" and "" + maxVersion + "")"");this.resourceDescription = resourceDescription;this.version = version;this.minVersion = minVersion;this.maxVersion = maxVersion;}"
"8408","exception","public static void main(String[] args) throws Exception {String field = null;int numTerms = DEFAULT_NUMTERMS;if (args.length == 0 || args.length > 4) {usage();System.exit(1);}Directory dir = FSDirectory.open(Paths.get(args[0]));Comparator<TermStats> comparator = new DocFreqComparator();for (int i = 1; i < args.length; i++) {if (args[i].equals(""-t"")) {comparator = new TotalTermFreqComparator();}else{try {numTerms = Integer.parseInt(args[i]);} catch (NumberFormatException e) {field=args[i];}}}IndexReader reader = DirectoryReader.open(dir);TermStats[] terms = getHighFreqTerms(reader, numTerms, field, comparator);for (int i = 0; i < terms.length; i++) {System.out.printf(Locale.ROOT, ""%s:%s \t totalTF = %,d \t docFreq = %,d \n"",terms[i].field, terms[i].termtext.utf8ToString(), terms[i].totalTermFreq, terms[i].docFreq);}reader.close();}","public static void main(String[] args) throws Exception {String field = null;int numTerms = DEFAULT_NUMTERMS;if (args.length == 0 || args.length > 4) {usage();System.exit(1);}Directory dir = FSDirectory.open(Paths.get(args[0]));Comparator<TermStats> comparator = new DocFreqComparator();for (int i = 1; i < args.length; i++) {if (args[i].equals(""-t"")) {comparator = new TotalTermFreqComparator();}else{try {numTerms = Integer.parseInt(args[i]);} catch (NumberFormatException e) {field=args[i];}}}IndexReader reader = DirectoryReader.open(dir);TermStats[] terms = getHighFreqTerms(reader, numTerms, field, comparator);for (int i = 0; i < terms.length; i++) {System.out.printf(Locale.ROOT, ""%s:%s \t totalTF = %,d \t docFreq = %,d \n"",terms[i].field, terms[i].termtext.utf8ToString(), terms[i].totalTermFreq, terms[i].docFreq);}reader.close();}"
"10250","exception","public ResetCommand addPath(String path) {if (mode != null)throw new JGitInternalException(MessageFormat.format(JGitText.get().illegalCombinationOfArguments, ""<EXCEPTION>"", ""[--mixed | --soft | --hard]"")); filepaths.add(path);return this;}","public ResetCommand addPath(String path) {if (mode != null)throw new JGitInternalException(MessageFormat.format(JGitText.get().illegalCombinationOfArguments, ""<paths>..."", ""[--mixed | --soft | --hard]"")); filepaths.add(path);return this;}"
"147","append","public String toString(){StringBuilder buffer = new StringBuilder();buffer.append(""<APPEND_STR>"");buffer.append(""<APPEND_STR>"").append(Integer.toHexString(getSaveLinkValues())).append(""<APPEND_STR>"");buffer.append(""<APPEND_STR>"");return buffer.toString();}","public String toString(){StringBuilder buffer = new StringBuilder();buffer.append(""[BOOKBOOL]\n"");buffer.append(""    .savelinkvalues  = "").append(Integer.toHexString(getSaveLinkValues())).append(""\n"");buffer.append(""[/BOOKBOOL]\n"");return buffer.toString();}"
"637","append","public String toString() {StringBuilder sb = new StringBuilder();if (fetchResult != null)sb.append(fetchResult.toString());elsesb.append(""<APPEND_STR>"");sb.append(""<APPEND_STR>"");if (mergeResult != null)sb.append(mergeResult.toString());else if (rebaseResult != null)sb.append(rebaseResult.toString());elsesb.append(""<APPEND_STR>"");return sb.toString();}","public String toString() {StringBuilder sb = new StringBuilder();if (fetchResult != null)sb.append(fetchResult.toString());elsesb.append(""No fetch result"");sb.append(""\n"");if (mergeResult != null)sb.append(mergeResult.toString());else if (rebaseResult != null)sb.append(rebaseResult.toString());elsesb.append(""No update result"");return sb.toString();}"
"702","append","public String toString(){StringBuilder buffer = new StringBuilder();buffer.append(""<APPEND_STR>"");buffer.append(""<APPEND_STR>"").append(""<APPEND_STR>"").append(HexDump.toHex(  getOptions ())).append(""<APPEND_STR>"").append( getOptions() ).append(""<APPEND_STR>"");buffer.append(System.getProperty(""line.separator""));buffer.append(""<APPEND_STR>"").append(isHorizontalBorder()).append('\n');buffer.append(""<APPEND_STR>"").append(isVerticalBorder()).append('\n');buffer.append(""<APPEND_STR>"").append(isBorder()).append('\n');buffer.append(""<APPEND_STR>"").append(isShowSeriesKey()).append('\n');buffer.append(""<APPEND_STR>"");return buffer.toString();}","public String toString(){StringBuilder buffer = new StringBuilder();buffer.append(""[DAT]\n"");buffer.append(""    .options              = "").append(""0x"").append(HexDump.toHex(  getOptions ())).append("" ("").append( getOptions() ).append("" )"");buffer.append(System.getProperty(""line.separator""));buffer.append(""         .horizontalBorder         = "").append(isHorizontalBorder()).append('\n');buffer.append(""         .verticalBorder           = "").append(isVerticalBorder()).append('\n');buffer.append(""         .border                   = "").append(isBorder()).append('\n');buffer.append(""         .showSeriesKey            = "").append(isShowSeriesKey()).append('\n');buffer.append(""[/DAT]\n"");return buffer.toString();}"
"713","append","public String toString() {StringBuilder buffer = new StringBuilder();buffer.append(""<APPEND_STR>"");buffer.append(""<APPEND_STR>"").append(HexDump.shortToHex(rt)).append('\n');buffer.append(""<APPEND_STR>"").append(HexDump.shortToHex(grbitFrt)).append('\n');buffer.append(""<APPEND_STR>"").append(HexDump.shortToHex(wOffset)).append('\n');buffer.append(""<APPEND_STR>"").append(HexDump.shortToHex(at)).append('\n');buffer.append(""<APPEND_STR>"").append(HexDump.shortToHex(grbit)).append('\n');if(unused != null)buffer.append(""<APPEND_STR>"").append(HexDump.shortToHex(unused)).append('\n');buffer.append(""<APPEND_STR>"");return buffer.toString();}","public String toString() {StringBuilder buffer = new StringBuilder();buffer.append(""[CATLAB]\n"");buffer.append(""    .rt      ="").append(HexDump.shortToHex(rt)).append('\n');buffer.append(""    .grbitFrt="").append(HexDump.shortToHex(grbitFrt)).append('\n');buffer.append(""    .wOffset ="").append(HexDump.shortToHex(wOffset)).append('\n');buffer.append(""    .at      ="").append(HexDump.shortToHex(at)).append('\n');buffer.append(""    .grbit   ="").append(HexDump.shortToHex(grbit)).append('\n');if(unused != null)buffer.append(""    .unused  ="").append(HexDump.shortToHex(unused)).append('\n');buffer.append(""[/CATLAB]\n"");return buffer.toString();}"
"1109","append","public String toString() {StringBuilder buffer = new StringBuilder();buffer.append(""<APPEND_STR>"");buffer.append(""<APPEND_STR>"").append(_colors.size()).append('\n');for (int i = 0; i < _colors.size(); i++) {PColor c = _colors.get(i);buffer.append(""<APPEND_STR>"").append(i).append('\n');buffer.append(c);buffer.append("""");}}","public String toString() {StringBuilder buffer = new StringBuilder();buffer.append(""[PALETTE]\n"");buffer.append(""  numcolors     = "").append(_colors.size()).append('\n');for (int i = 0; i < _colors.size(); i++) {PColor c = _colors.get(i);buffer.append(""* colornum      = "").append(i).append('\n');buffer.append(c);buffer.append("""");}}"
"1263","append","public String toString() {StringBuilder buffer = new StringBuilder(""[Data Table - Parent cell is an interior cell in a data table]\n"");buffer.append(""<APPEND_STR>"").append(getRow()).append(""<APPEND_STR>"");buffer.append(""<APPEND_STR>"").append(getColumn()).append(""<APPEND_STR>"");return buffer.toString();}","public String toString() {StringBuilder buffer = new StringBuilder(""[Data Table - Parent cell is an interior cell in a data table]\n"");buffer.append(""top left row = "").append(getRow()).append(""\n"");buffer.append(""top left col = "").append(getColumn()).append(""\n"");return buffer.toString();}"
"1551","append","public String toString() {StringBuilder buffer = new StringBuilder();buffer.append(""<APPEND_STR>"");buffer.append(""<APPEND_STR>"").append(HexDump.shortToHex(isxvdData)).append(""<APPEND_STR>"");buffer.append(""<APPEND_STR>"").append(HexDump.shortToHex(iiftab)).append(""<APPEND_STR>"");buffer.append(""<APPEND_STR>"").append(HexDump.shortToHex(df)).append(""<APPEND_STR>"");buffer.append(""<APPEND_STR>"").append(HexDump.shortToHex(isxvd)).append(""<APPEND_STR>"");buffer.append(""<APPEND_STR>"").append(HexDump.shortToHex(isxvi)).append(""<APPEND_STR>"");buffer.append(""<APPEND_STR>"").append(HexDump.shortToHex(ifmt)).append(""<APPEND_STR>"");buffer.append(""<APPEND_STR>"");return buffer.toString();}","public String toString() {StringBuilder buffer = new StringBuilder();buffer.append(""[SXDI]\n"");buffer.append(""  .isxvdData = "").append(HexDump.shortToHex(isxvdData)).append(""\n"");buffer.append(""  .iiftab = "").append(HexDump.shortToHex(iiftab)).append(""\n"");buffer.append(""  .df = "").append(HexDump.shortToHex(df)).append(""\n"");buffer.append(""  .isxvd = "").append(HexDump.shortToHex(isxvd)).append(""\n"");buffer.append(""  .isxvi = "").append(HexDump.shortToHex(isxvi)).append(""\n"");buffer.append(""  .ifmt = "").append(HexDump.shortToHex(ifmt)).append(""\n"");buffer.append(""[/SXDI]\n"");return buffer.toString();}"
"1829","append","public String toString() {final StringBuilder sb = new StringBuilder();sb.append(""<APPEND_STR>"");sb.append(""<APPEND_STR>"").append(HexDump.shortToHex(field_1_record_type)).append(""<APPEND_STR>"");sb.append(""<APPEND_STR>"").append(HexDump.byteToHex(field_2_frt_cell_ref_flag)).append(""<APPEND_STR>"");sb.append(""<APPEND_STR>"").append(field_3_reserved).append(""<APPEND_STR>"");sb.append(""<APPEND_STR>"").append(field_6_name_text.length()).append(""<APPEND_STR>"");sb.append(""<APPEND_STR>"").append(field_7_comment_text.length()).append(""<APPEND_STR>"");sb.append(""<APPEND_STR>"").append(field_6_name_text).append(""<APPEND_STR>"");sb.append(""<APPEND_STR>"").append(field_7_comment_text).append(""<APPEND_STR>"");sb.append(""<APPEND_STR>"");return sb.toString();}","public String toString() {final StringBuilder sb = new StringBuilder();sb.append(""[NAMECMT]\n"");sb.append(""    .record type            = "").append(HexDump.shortToHex(field_1_record_type)).append(""\n"");sb.append(""    .frt cell ref flag      = "").append(HexDump.byteToHex(field_2_frt_cell_ref_flag)).append(""\n"");sb.append(""    .reserved               = "").append(field_3_reserved).append(""\n"");sb.append(""    .name length            = "").append(field_6_name_text.length()).append(""\n"");sb.append(""    .comment length         = "").append(field_7_comment_text.length()).append(""\n"");sb.append(""    .name                   = "").append(field_6_name_text).append(""\n"");sb.append(""    .comment                = "").append(field_7_comment_text).append(""\n"");sb.append(""[/NAMECMT]\n"");return sb.toString();}"
"1916","append","public String toString(){StringBuilder buffer = new StringBuilder();buffer.append(""<APPEND_STR>"");buffer.append(""<APPEND_STR>"");return buffer.toString();}","public String toString(){StringBuilder buffer = new StringBuilder();buffer.append(""[WRITEPROTECT]\n"");buffer.append(""[/WRITEPROTECT]\n"");return buffer.toString();}"
